1	16	3	13	2	15	4	10	5	14	6	9	7	12	8	11	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
149340	203900	163140	148260	153740	171640	211380	144220	159220	169960	175570	167090	208690	206500	166850	201430	-1	6	6	6	14	14	14	53.961	0	13.756	232650000	5	Q8BGV0	Q8BGV0	Probable asparagine--tRNA ligase, mitochondrial	Nars2	4523	sp|Q8BGV0|SYNM_MOUSE Probable asparagine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Nars2 PE=1 SV=1
37288	14118	31383	28393	27526	20218	21152	26865	26501	31553	32220	37618	32793	17451	13375	31338	-1	4	4	4	9.4	9.4	9.4	56.701	0	323.31	39689000	2	Q8BGV4	Q8BGV4	TELO2-interacting protein 2	Tti2	4524	sp|Q8BGV4|TTI2_MOUSE TELO2-interacting protein 2 OS=Mus musculus OX=10090 GN=Tti2 PE=2 SV=1
33094	39213	26432	34240	39362	21649	32804	45548	35163	52425	56665	34908	32161	34261	30894	28464	-1	7	7	7	17.9	17.9	17.9	51.183	0	181.15	174530000	5	Q8BGV8	Q8BGV8	Mitochondrial dynamics protein MID51	Mief1	4525	sp|Q8BGV8|MID51_MOUSE Mitochondrial dynamics protein MID51 OS=Mus musculus OX=10090 GN=Mief1 PE=1 SV=1
223300	60116	203550	115590	196680	92514	150000	191100	92839	159220	161950	224220	166840	120780	62090	180460	-1	7	7	7	21	21	21	55.392	0	23.243	583920000	9	Q8BGW1-2;Q8BGW1;Q8BGW1-3;Q8BGW1-4	Q8BGW1-2;Q8BGW1;Q8BGW1-3	Alpha-ketoglutarate-dependent dioxygenase FTO	Fto	4526	sp|Q8BGW1-2|FTO_MOUSE Isoform 2 of Alpha-ketoglutarate-dependent dioxygenase FTO OS=Mus musculus OX=10090 GN=Fto;sp|Q8BGW1|FTO_MOUSE Alpha-ketoglutarate-dependent dioxygenase FTO OS=Mus musculus OX=10090 GN=Fto PE=1 SV=1;sp|Q8BGW1-3|FTO_MOUSE Isoform 3 of
14970	8226.400390625	14996	12138	12768	6272.10009765625	17634	14467	12619	9774.599609375	11751	18733	10721	12609	9294.2001953125	13720	-1	4	4	4	18.1	18.1	18.1	38.347	0	18.035	15579000	1	Q8BGW2;Q8BGW2-3;Q8BGW2-4	Q8BGW2;Q8BGW2-3;Q8BGW2-4	WW domain binding protein 1-like	Wbp1l	4527	sp|Q8BGW2|WBP1L_MOUSE WW domain binding protein 1-like OS=Mus musculus OX=10090 GN=Wbp1l PE=2 SV=1;sp|Q8BGW2-3|WBP1L_MOUSE Isoform 3 of WW domain binding protein 1-like OS=Mus musculus OX=10090 GN=Wbp1l;sp|Q8BGW2-4|WBP1L_MOUSE Isoform 4 of WW domain bindin
94920	122410	112750	100660	132050	91187	168650	140650	96106	184950	174020	86323	149930	134910	118670	110170	-1	6	6	6	23.7	23.7	23.7	29.415	0	117.8	463900000	6	Q8BGX2	Q8BGX2	Uncharacterized protein C19orf52 homolog		4528	sp|Q8BGX2|TIM29_MOUSE Mitochondrial import inner membrane translocase subunit Tim29 OS=Mus musculus OX=10090 GN=Timm29 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	1.1	1.1	1.1	91.873	0.0017157	1.9636	0	0	Q8BGX7-2;Q8BGX7	Q8BGX7-2;Q8BGX7	DNA repair-scaffolding protein	Spidr	4529	sp|Q8BGX7-2|SPIDR_MOUSE Isoform 2 of DNA repair-scaffolding protein OS=Mus musculus OX=10090 GN=Spidr;sp|Q8BGX7|SPIDR_MOUSE DNA repair-scaffolding protein OS=Mus musculus OX=10090 GN=Spidr PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	7	1	1	47.1	17	17	16.793	0	6.6266	49901000	1	Q8BGY2	Q8BGY2	Eukaryotic translation initiation factor 5A-2	Eif5a2	4530	sp|Q8BGY2|IF5A2_MOUSE Eukaryotic translation initiation factor 5A-2 OS=Mus musculus OX=10090 GN=Eif5a2 PE=1 SV=3
67008	22384	53041	37022	36516	27501	35221	37864	40613	25899	30831	67190	41181	38292	18417	54718	-1	7	7	7	12.7	12.7	12.7	67.031	0	323.31	34707000	4	Q8BGY4;Q8BGY4-2;Q8BGY4-3	Q8BGY4;Q8BGY4-2;Q8BGY4-3	Kelch-like protein 26	Klhl26	4531	sp|Q8BGY4|KLH26_MOUSE Kelch-like protein 26 OS=Mus musculus OX=10090 GN=Klhl26 PE=1 SV=1;sp|Q8BGY4-2|KLH26_MOUSE Isoform 2 of Kelch-like protein 26 OS=Mus musculus OX=10090 GN=Klhl26;sp|Q8BGY4-3|KLH26_MOUSE Isoform 3 of Kelch-like protein 26 OS=Mus musculu
129160	115950	143980	117530	285100	103540	173860	285770	106760	308580	346210	129830	160610	161010	104860	142990	-1	4	4	4	15.8	15.8	15.8	31.599	0	6.7303	170810000	5	Q8BGY7	Q8BGY7	Protein FAM210A	Fam210a	4532	sp|Q8BGY7|F210A_MOUSE Protein FAM210A OS=Mus musculus OX=10090 GN=Fam210a PE=1 SV=1
20267	7541.10009765625	22235	13809	18892	15595	17953	17615	15675	14057	18673	19332	21245	16344	9321.599609375	21078	-1	4	4	4	26.8	26.8	26.8	25.061	0	16.706	448440000	5	Q8BGZ2-2;Q8BGZ2	Q8BGZ2-2;Q8BGZ2	Protein FAM168A	Fam168a	4533	sp|Q8BGZ2-2|F168A_MOUSE Isoform 2 of Protein FAM168A OS=Mus musculus OX=10090 GN=Fam168a;sp|Q8BGZ2|F168A_MOUSE Protein FAM168A OS=Mus musculus OX=10090 GN=Fam168a PE=1 SV=1
1290200	772250	1501400	1018200	1985900	972940	1273100	1927700	1034500	1839000	1906100	1290500	1603300	1179400	832470	1422300	-1	16	16	16	28.5	28.5	28.5	68.561	0	158.61	3123200000	17	Q8BGZ4;Q8BGZ4-2	Q8BGZ4;Q8BGZ4-2	Cell division cycle protein 23 homolog	Cdc23	4534	sp|Q8BGZ4|CDC23_MOUSE Cell division cycle protein 23 homolog OS=Mus musculus OX=10090 GN=Cdc23 PE=1 SV=2;sp|Q8BGZ4-2|CDC23_MOUSE Isoform 2 of Cell division cycle protein 23 homolog OS=Mus musculus OX=10090 GN=Cdc23
84080	57136	81176	106090	91660	79272	90830	84011	93638	97491	90789	120750	101800	96096	55073	104200	-1	3	3	3	5.6	5.6	5.6	75.902	0	2.6541	158320000	3	Q8BH01;Q8BH01-2;Q8BH01-3	Q8BH01;Q8BH01-2;Q8BH01-3	Transmembrane and coiled-coil domain-containing protein 3	Tmco3	4535	sp|Q8BH01|TMCO3_MOUSE Transmembrane and coiled-coil domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tmco3 PE=2 SV=1;sp|Q8BH01-2|TMCO3_MOUSE Isoform 2 of Transmembrane and coiled-coil domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tmco3;sp|
145260	46045	197070	137590	213480	140460	68079	262120	116080	170100	181120	215610	178420	83565	38486	243860	-1	6	6	5	18.1	18.1	15.3	47.585	0	50.878	265870000	6	Q8BH02	Q8BH02	Torsin-4A	Tor4a	4536	sp|Q8BH02|TOR4A_MOUSE Torsin-4A OS=Mus musculus OX=10090 GN=Tor4a PE=2 SV=1
3595300	2252100	2703400	2034500	5988800	1613900	3820600	6512600	2266700	5460900	6789500	3414800	3118300	3108600	2543400	2670200	-1	26	26	26	42	42	42	70.527	0	118.13	23024000000	41	Q8BH04;Q9Z2V4	Q8BH04	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	Pck2	4537	sp|Q8BH04|PCKGM_MOUSE Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus OX=10090 GN=Pck2 PE=1 SV=1
166000	183320	163800	213980	172750	161690	243850	180550	152740	275270	263040	205060	254320	237580	165550	194600	-1	7	7	7	38.1	38.1	38.1	24.908	0	323.31	97987000	2	Q8BH07	Q8BH07	ADP-ribosylation factor-like protein 6-interacting protein 6	Arl6ip6	4538	sp|Q8BH07|AR6P6_MOUSE ADP-ribosylation factor-like protein 6-interacting protein 6 OS=Mus musculus OX=10090 GN=Arl6ip6 PE=1 SV=1
513890	271550	582210	464980	694080	369260	468950	730710	388030	599190	691250	539650	576470	412210	269690	577200	-1	12	12	1	17.9	17.9	2.8	81.817	0	60.063	876440000	13	Q8BH15;Q8BH15-4;Q8BH15-3;Q8BH15-5;Q8BH15-6	Q8BH15;Q8BH15-4;Q8BH15-3;Q8BH15-5	CCR4-NOT transcription complex subunit 10	Cnot10	4539	sp|Q8BH15|CNO10_MOUSE CCR4-NOT transcription complex subunit 10 OS=Mus musculus OX=10090 GN=Cnot10 PE=1 SV=1;sp|Q8BH15-4|CNO10_MOUSE Isoform 4 of CCR4-NOT transcription complex subunit 10 OS=Mus musculus OX=10090 GN=Cnot10;sp|Q8BH15-3|CNO10_MOUSE Isoform 3
7316.7001953125	5527.7998046875	8191.39990234375	6545.7001953125	11863	5979.2001953125	8080	11046	5366.5	9682.099609375	10123	8209.099609375	8682.400390625	7446.89990234375	4624.10009765625	7993.2001953125	-1	12	1	1	17.8	2.7	2.7	81.73	0	8.7155	40801000	1	Q8BH15-2	Q8BH15-2	CCR4-NOT transcription complex subunit 10	Cnot10	4540	sp|Q8BH15-2|CNO10_MOUSE Isoform 2 of CCR4-NOT transcription complex subunit 10 OS=Mus musculus OX=10090 GN=Cnot10
1660000	632920	1625800	992240	1735400	727020	1946300	1896000	1023600	1136600	1244300	1713300	1344800	1740200	713690	1706400	-1	11	11	11	17.3	17.3	17.3	74.692	0	21.44	4195700000	14	Q8BH24	Q8BH24	Transmembrane 9 superfamily member 4	Tm9sf4	4541	sp|Q8BH24|TM9S4_MOUSE Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1
5281.10009765625	5870.60009765625	8458.099609375	6319.7001953125	8647.900390625	6581.89990234375	10812	7146.10009765625	6841.5	11357	10578	7401.60009765625	12859	9255.400390625	5582.5	8835.400390625	-1	1	1	1	8.6	8.6	8.6	18.72	0	4.9125	11154000	1	Q8BH26	Q8BH26	Transmembrane protein 251	Tmem251	4542	sp|Q8BH26|TM251_MOUSE Transmembrane protein 251 OS=Mus musculus OX=10090 GN=Tmem251 PE=2 SV=1
14456	25554	21897	14579	24713	17877	31482	24079	13247	24543	24799	14919	20916	34838	23756	24145	-1	1	1	1	1.7	1.7	1.7	62.831	0.0021871	1.7757	15709000	1	Q8BH27	Q8BH27	Multiple epidermal growth factor-like domains protein 9	Megf9	4543	sp|Q8BH27|MEGF9_MOUSE Multiple epidermal growth factor-like domains protein 9 OS=Mus musculus OX=10090 GN=Megf9 PE=2 SV=1
33012	30872	47611	30433	24650	38766	49983	24550	32418	31349	31303	36034	59003	42542	31127	51147	-1	1	1	1	2.3	2.3	2.3	57.569	0	5.6297	24265000	1	Q8BH31	Q8BH31	Major facilitator superfamily domain-containing protein 8	Mfsd8	4544	sp|Q8BH31|MFSD8_MOUSE Major facilitator superfamily domain-containing protein 8 OS=Mus musculus OX=10090 GN=Mfsd8 PE=2 SV=1
13976	284170	467150	9554.099609375	90781	310870	537940	89526	12637	118960	106440	18750	428750	557430	270140	517610	-1	12	12	12	13.5	13.5	13.5	89.548	0	20.354	623960000	13	Q8BH34	Q8BH34	Semaphorin-3D	Sema3d	4545	sp|Q8BH34|SEM3D_MOUSE Semaphorin-3D OS=Mus musculus OX=10090 GN=Sema3d PE=1 SV=1
705440	232920	498480	537910	413790	331200	342730	355140	591480	339340	456850	638310	582380	300670	247820	432790	-1	14	14	14	22.9	22.9	22.9	54.073	0	88.772	2099400000	15	Q8BH43	Q8BH43	Wiskott-Aldrich syndrome protein family member 2	Wasf2	4546	sp|Q8BH43|WASF2_MOUSE Wiskott-Aldrich syndrome protein family member 2 OS=Mus musculus OX=10090 GN=Wasf2 PE=1 SV=1
131470	59418	75278	150660	134760	58681	62708	163320	139370	148510	158190	131310	96810	61767	60120	83172	-1	3	3	3	5.6	5.6	5.6	54.936	0	6.4622	38524000	4	Q8BH44	Q8BH44	Coronin-2B	Coro2b	4547	sp|Q8BH44|COR2B_MOUSE Coronin-2B OS=Mus musculus OX=10090 GN=Coro2b PE=1 SV=2
10490	8184.7998046875	16448	10443	15653	7675.2998046875	13036	17604	11940	13582	19915	11100	14946	13559	8953.400390625	17683	-1	2	2	2	9.8	9.8	9.8	35.024	0.0027862	1.727	151650000	2	Q8BH47	Q8BH47	Vesicle-trafficking protein SEC22a	Sec22a	4548	sp|Q8BH47|SC22A_MOUSE Vesicle-trafficking protein SEC22a OS=Mus musculus OX=10090 GN=Sec22a PE=2 SV=1
19248	12503	25478	17608	15280	16817	10894	17335	16331	18315	21449	18603	19899	16025	13284	21068	-1	2	2	2	5.7	5.7	5.7	48.195	0.0066572	1.3325	25122000	1	Q8BH48-2;Q8BH48	Q8BH48-2;Q8BH48	Ubiquitin-associated protein 1	Ubap1	4549	sp|Q8BH48-2|UBAP1_MOUSE Isoform 2 of Ubiquitin-associated protein 1 OS=Mus musculus OX=10090 GN=Ubap1;sp|Q8BH48|UBAP1_MOUSE Ubiquitin-associated protein 1 OS=Mus musculus OX=10090 GN=Ubap1 PE=1 SV=1
12608	11791	11543	16989	23087	7195.2998046875	17194	20692	14340	27957	31363	17267	14820	11641	11239	9829	-1	6	6	6	26.5	26.5	26.5	26.445	0	323.31	116190000	2	Q8BH50;Q8BH50-2	Q8BH50;Q8BH50-2	Uncharacterized protein C18orf25 homolog		4550	sp|Q8BH50|CR025_MOUSE Uncharacterized protein C18orf25 homolog OS=Mus musculus OX=10090 PE=1 SV=1;sp|Q8BH50-2|CR025_MOUSE Isoform 2 of Uncharacterized protein C18orf25 homolog OS=Mus musculus OX=10090
179450	68079	174610	91370	239600	80253	198010	271820	90588	145560	161330	178930	123890	185470	76899	187850	-1	2	2	2	35.1	35.1	35.1	6.3804	0	3.4953	96257000	2	Q8BH51	Q8BH51	Cytochrome c oxidase assembly protein COX14	Cox14	4551	sp|Q8BH51|COX14_MOUSE Cytochrome c oxidase assembly protein COX14 OS=Mus musculus OX=10090 GN=Cox14 PE=3 SV=1
64584	158930	132180	76920	139950	109490	174070	150050	74284	239480	251270	62582	145640	164590	136340	120370	-1	8	8	8	14.5	14.5	14.5	83.099	0	27.088	355590000	7	Q8BH55	Q8BH55	Threonine synthase-like 1	Thnsl1	4552	sp|Q8BH55|THNS1_MOUSE Threonine synthase-like 1 OS=Mus musculus OX=10090 GN=Thnsl1 PE=1 SV=1
408420	377600	480820	388910	411430	362660	528680	437210	372260	496830	497320	435530	569210	471380	374500	457860	-1	9	9	9	19.5	19.5	19.5	76.006	0	209.94	779100000	10	Q8BH57;Q8BH57-2;Q8BH57-3	Q8BH57;Q8BH57-2;Q8BH57-3	WD repeat-containing protein 48	Wdr48	4553	sp|Q8BH57|WDR48_MOUSE WD repeat-containing protein 48 OS=Mus musculus OX=10090 GN=Wdr48 PE=1 SV=1;sp|Q8BH57-2|WDR48_MOUSE Isoform 2 of WD repeat-containing protein 48 OS=Mus musculus OX=10090 GN=Wdr48;sp|Q8BH57-3|WDR48_MOUSE Isoform 3 of WD repeat-containi
247970	119360	273520	196300	262970	179220	179550	242740	166150	254750	265980	246010	326850	128530	129520	225300	-1	5	5	5	19.6	19.6	19.6	31.253	0	41.321	847340000	5	Q8BH58	Q8BH58	TIP41-like protein	Tiprl	4554	sp|Q8BH58|TIPRL_MOUSE TIP41-like protein OS=Mus musculus OX=10090 GN=Tiprl PE=1 SV=1
1886000	1527900	1727300	1531300	2591000	1226400	2212600	2485700	1577900	2416200	2771600	1866900	2009800	2009400	1630200	1691800	-1	16	16	13	26.9	26.9	22.6	74.569	0	87.754	7936300000	26	Q8BH59	Q8BH59	Calcium-binding mitochondrial carrier protein Aralar1	Slc25a12	4555	sp|Q8BH59|CMC1_MOUSE Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus OX=10090 GN=Slc25a12 PE=1 SV=1
557200	535300	641390	380910	584720	371030	1162600	580270	346960	486500	514740	519860	617280	1010600	568070	677840	-1	14	14	13	41.5	41.5	34.5	49.795	0	69.264	1319000000	13	Q8BH60-2;Q8BH60	Q8BH60-2;Q8BH60	Golgi-associated PDZ and coiled-coil motif-containing protein	Gopc	4556	sp|Q8BH60-2|GOPC_MOUSE Isoform 2 of Golgi-associated PDZ and coiled-coil motif-containing protein OS=Mus musculus OX=10090 GN=Gopc;sp|Q8BH60|GOPC_MOUSE Golgi-associated PDZ and coiled-coil motif-containing protein OS=Mus musculus OX=10090 GN=Gopc PE=1 SV=1
7516500	9746500	7311900	5510800	5302700	7210800	8608500	5629900	5752500	6939500	6955200	6492900	10722000	8766300	8349800	6394200	-1	33	33	31	52.1	52.1	50.3	61.174	0	323.31	30942000000	43	Q8BH64	Q8BH64	EH domain-containing protein 2	Ehd2	4557	sp|Q8BH64|EHD2_MOUSE EH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ehd2 PE=1 SV=1
129900	119470	149060	150410	171590	139330	146620	178240	115390	186130	214170	141150	193600	142960	111490	156090	-1	4	4	4	12.1	12.1	12.1	43.736	0	4.8865	155350000	4	Q8BH65-3;Q8BH65;Q8BH65-2;Q8BH65-4	Q8BH65-3;Q8BH65;Q8BH65-2	Protein DENND6A	Dennd6a	4558	sp|Q8BH65-3|DEN6A_MOUSE Isoform 3 of Protein DENND6A OS=Mus musculus OX=10090 GN=Dennd6a;sp|Q8BH65|DEN6A_MOUSE Protein DENND6A OS=Mus musculus OX=10090 GN=Dennd6a PE=1 SV=1;sp|Q8BH65-2|DEN6A_MOUSE Isoform 2 of Protein DENND6A OS=Mus musculus OX=10090 GN=De
610520	372610	397010	629890	388010	321340	454430	422680	532020	372490	346780	674120	409440	502770	305010	441620	-1	12	11	10	24.6	23.3	21.3	63.377	0	170.41	715530000	10	Q8BH66	Q8BH66	Atlastin-1	Atl1	4559	sp|Q8BH66|ATLA1_MOUSE Atlastin-1 OS=Mus musculus OX=10090 GN=Atl1 PE=1 SV=1
539210	373210	488460	610420	498410	489550	397080	442190	594860	711280	701310	642240	723090	445070	381200	500310	-1	9	9	9	34.7	34.7	34.7	42.906	0	20.692	2107500000	9	Q8BH69	Q8BH69	Selenide, water dikinase 1	Sephs1	4560	sp|Q8BH69|SPS1_MOUSE Selenide, water dikinase 1 OS=Mus musculus OX=10090 GN=Sephs1 PE=1 SV=1
7434.5	8537.7998046875	9648.7001953125	8509.400390625	8676.599609375	6773.7998046875	11633	7334.2001953125	6166.2001953125	10298	15078	8243.2998046875	13692	9937.599609375	8668.099609375	9102.599609375	-1	2	2	2	3.2	3.2	3.2	70.268	0	3.0581	79787000	2	Q8BH70	Q8BH70	F-box/LRR-repeat protein 4	Fbxl4	4561	sp|Q8BH70|FBXL4_MOUSE F-box/LRR-repeat protein 4 OS=Mus musculus OX=10090 GN=Fbxl4 PE=1 SV=1
21394	13408	28997	16636	16830	17304	26419	17965	16790	15069	15627	23740	23803	28814	12511	32963	-1	1	1	1	4.5	4.5	4.5	42.576	0	10.801	32648000	1	Q8BH73-2;Q8BH73	Q8BH73-2;Q8BH73	Glutaminyl-peptide cyclotransferase-like protein	Qpctl	4562	sp|Q8BH73-2|QPCTL_MOUSE Isoform 2 of Glutaminyl-peptide cyclotransferase-like protein OS=Mus musculus OX=10090 GN=Qpctl;sp|Q8BH73|QPCTL_MOUSE Glutaminyl-peptide cyclotransferase-like protein OS=Mus musculus OX=10090 GN=Qpctl PE=1 SV=1
1406500	1096500	1568200	1393400	1940800	1280300	1591400	1840600	1256900	2706200	2809200	1299200	2295500	1280000	1077100	1595400	-1	35	35	35	36.3	36.3	36.3	106.72	0	323.31	4793600000	33	Q8BH74	Q8BH74	Nuclear pore complex protein Nup107	Nup107	4563	sp|Q8BH74|NU107_MOUSE Nuclear pore complex protein Nup107 OS=Mus musculus OX=10090 GN=Nup107 PE=1 SV=1
33389	39351	30742	28807	39399	22718	44797	44575	29340	37658	35154	41261	29300	41166	33909	34545	-1	2	2	2	7.6	7.6	7.6	35.891	0.00037267	2.2351	78255000	2	Q8BH75	Q8BH75	E3 ubiquitin-protein ligase NRDP1	Rnf41	4564	sp|Q8BH75|RNF41_MOUSE E3 ubiquitin-protein ligase NRDP1 OS=Mus musculus OX=10090 GN=Rnf41 PE=1 SV=1
1005900	855750	926960	744160	1024600	557650	1737700	1093800	682380	789790	789710	1101200	834320	1592100	834430	1015400	-1	12	12	12	19.6	19.6	19.6	76.187	0	46.151	2724600000	15	Q8BH79;Q8BH79-2;Q8BH79-3;Q8BH79-4	Q8BH79;Q8BH79-2;Q8BH79-3;Q8BH79-4	Anoctamin-10	Ano10	4565	sp|Q8BH79|ANO10_MOUSE Anoctamin-10 OS=Mus musculus OX=10090 GN=Ano10 PE=1 SV=1;sp|Q8BH79-2|ANO10_MOUSE Isoform 2 of Anoctamin-10 OS=Mus musculus OX=10090 GN=Ano10;sp|Q8BH79-3|ANO10_MOUSE Isoform 3 of Anoctamin-10 OS=Mus musculus OX=10090 GN=Ano10;sp|Q8BH79
3618300	3634700	4778100	3289400	1187800	3697900	4345600	1235200	3540500	1780800	1688100	3659500	5935800	3793500	3476200	4692100	-1	22	22	22	31.9	31.9	31.9	66.365	0	165.18	9835500000	35	Q8BH86;Q8BH86-2	Q8BH86;Q8BH86-2	UPF0317 protein C14orf159 homolog, mitochondrial		4566	sp|Q8BH86|GLUCM_MOUSE D-glutamate cyclase, mitochondrial OS=Mus musculus OX=10090 GN=Dglucy PE=1 SV=1;sp|Q8BH86-2|GLUCM_MOUSE Isoform 2 of D-glutamate cyclase, mitochondrial OS=Mus musculus OX=10090 GN=Dglucy
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	2.5	2.5	2.5	61.907	0	15.841	0	0	Q8BH88	Q8BH88	DEP domain-containing protein 1B	Depdc1b	4567	sp|Q8BH88|DEP1B_MOUSE DEP domain-containing protein 1B OS=Mus musculus OX=10090 GN=Depdc1b PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	10.3	10.3	10.3	23.885	0	85.037	0	0	Q8BH93	Q8BH93	MAPK-interacting and spindle-stabilizing protein-like	Mapk1ip1l	4568	sp|Q8BH93|MISSL_MOUSE MAPK-interacting and spindle-stabilizing protein-like OS=Mus musculus OX=10090 GN=Mapk1ip1l PE=2 SV=3
5205100	5080600	10224000	5372200	7294400	7786700	7704600	7658000	5498800	7220300	8259200	5805200	12986000	7511900	5484200	10999000	-1	16	16	16	50.3	50.3	50.3	31.474	0	184.29	19109000000	33	Q8BH95	Q8BH95	Enoyl-CoA hydratase, mitochondrial	Echs1	4569	sp|Q8BH95|ECHM_MOUSE Enoyl-CoA hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Echs1 PE=1 SV=1
5869200	1069400	4751600	3014700	5750800	1275400	4440600	6452500	3039700	1839400	2351300	6285900	2315100	4384100	971920	5050000	-1	15	15	15	45.1	45.1	45.1	38.001	0	323.31	19751000000	41	Q8BH97	Q8BH97	Reticulocalbin-3	Rcn3	4570	sp|Q8BH97|RCN3_MOUSE Reticulocalbin-3 OS=Mus musculus OX=10090 GN=Rcn3 PE=1 SV=1
77114	64227	70910	77586	63074	60157	74312	80080	57718	83705	102230	95353	79249	77750	46863	77624	-1	1	1	1	6.8	6.8	6.8	20.405	0	8.9925	70269000	1	Q8BHA0	Q8BHA0	INO80 complex subunit C	Ino80c	4571	sp|Q8BHA0|IN80C_MOUSE INO80 complex subunit C OS=Mus musculus OX=10090 GN=Ino80c PE=1 SV=1
463110	497890	598130	500350	433730	464080	677530	426520	414110	458670	460420	498330	744160	556470	491730	607890	-1	6	6	6	35.7	35.7	35.7	18.236	0	8.4817	1341500000	9	Q8BHA3;Q8BHA3-2	Q8BHA3;Q8BHA3-2	Probable D-tyrosyl-tRNA(Tyr) deacylase 2	Dtd2	4572	sp|Q8BHA3|DTD2_MOUSE D-aminoacyl-tRNA deacylase 2 OS=Mus musculus OX=10090 GN=Dtd2 PE=1 SV=1;sp|Q8BHA3-2|DTD2_MOUSE Isoform 2 of D-aminoacyl-tRNA deacylase 2 OS=Mus musculus OX=10090 GN=Dtd2
98555	15187	47355	110160	57256	32426	23234	67469	107530	49414	51360	104060	56112	27195	17492	64293	-1	2	2	2	6.2	6.2	6.2	54.937	0.0046807	1.5017	28385000	2	Q8BHA9	Q8BHA9	2-phosphoxylose phosphatase 1	Pxylp1	4573	sp|Q8BHA9|PXYP1_MOUSE 2-phosphoxylose phosphatase 1 OS=Mus musculus OX=10090 GN=Pxylp1 PE=2 SV=1
253720	743610	687870	386030	866390	699710	896090	917180	347520	1097300	1149300	315130	1070900	1003200	743410	738240	-1	14	14	14	17.7	17.7	17.7	107.74	0	42.304	1014800000	14	Q8BHB0	Q8BHB0	Nucleotide-binding oligomerization domain-containing protein 1	Nod1	4574	sp|Q8BHB0|NOD1_MOUSE Nucleotide-binding oligomerization domain-containing protein 1 OS=Mus musculus OX=10090 GN=Nod1 PE=1 SV=1
282340	395300	335810	264970	477550	290200	527190	541470	221940	706770	791190	320500	389570	482090	394100	372600	-1	13	13	13	20.3	20.3	20.3	105.77	0	100.56	1321200000	18	Q8BHB4	Q8BHB4	WD repeat-containing protein 3	Wdr3	4575	sp|Q8BHB4|WDR3_MOUSE WD repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Wdr3 PE=1 SV=1
22236	20295	11046	14077	34446	6844.39990234375	30233	36889	14158	29295	36734	21803	12736	22766	21904	9337.900390625	-1	1	1	1	6.6	6.6	6.6	24.636	0.00037341	2.2708	40352000	1	Q8BHC1	Q8BHC1	Ras-related protein Rab-39B	Rab39b	4576	sp|Q8BHC1|RB39B_MOUSE Ras-related protein Rab-39B OS=Mus musculus OX=10090 GN=Rab39b PE=1 SV=1
915110	529510	910010	616320	1836500	460090	1054400	1892600	606500	1285600	1495400	875830	720300	939170	525150	879070	-1	11	11	11	44.2	44.2	44.2	26.476	0	55.991	3425700000	15	Q8BHC4	Q8BHC4	Dephospho-CoA kinase domain-containing protein	Dcakd	4577	sp|Q8BHC4|DCAKD_MOUSE Dephospho-CoA kinase domain-containing protein OS=Mus musculus OX=10090 GN=Dcakd PE=1 SV=1
369210	232660	291080	245510	383500	162050	510650	390170	248550	277880	369040	367740	242590	426940	225630	283330	-1	1	1	1	5.4	5.4	5.4	35.776	0	33.353	593310000	3	Q8BHC7	Q8BHC7	Rhomboid-related protein 4	Rhbdd1	4578	sp|Q8BHC7|RHBL4_MOUSE Rhomboid-related protein 4 OS=Mus musculus OX=10090 GN=Rhbdd1 PE=1 SV=1
345240	52406	406760	184020	489540	144350	144550	595620	172670	206560	275480	442370	233870	151030	51090	463250	-1	5	5	5	12.9	12.9	12.9	55.532	0	11.606	384090000	7	Q8BHC9	Q8BHC9	Alpha-(1,3)-fucosyltransferase 11	Fut11	4579	sp|Q8BHC9|FUT11_MOUSE Alpha-(1,3)-fucosyltransferase 11 OS=Mus musculus OX=10090 GN=Fut11 PE=1 SV=1
