Pooled_1	U1_V3_1	U1_V3_2	U1_V9_1	U1_V9_2	U1_V15_1	U1_V15_2	U1_V21_1	U1_V21_2	U1_I3_1	U1_I3_2	U1_I9_1	U1_I9_2	U1_I15_1	U1_I15_2	U1_I21_1	U1_I21_2	Pooled_2	U2_V3_1	U2_V3_2	U2_V9_1	U2_V9_2	U2_V15_1	U2_V15_2	U2_V21_1	U2_V21_2	U2_I3_1	U2_I3_2	U2_I9_1	U2_I9_2	U2_I15_1	U2_I15_2	U2_I21_1	U2_I21_2	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
28849	34633	21558	25101	17277	28395	10717	15881	15895	23879	12475	20557	26771	18477	36634	17956	24961	149250	180610	151530	158000	187820	233020	180300	222380	124170	123780	187360	172030	216050	194010	209840	139050	191370	9	9	9	15.9	15.9	15.9	91.612	0	191.17	14	Q8BMQ2;Q8BMQ2-3;Q8BMQ2-2	Q8BMQ2;Q8BMQ2-3	General transcription factor 3C polypeptide 4	Gtf3c4	4377	sp|Q8BMQ2|TF3C4_MOUSE General transcription factor 3C polypeptide 4 OS=Mus musculus OX=10090 GN=Gtf3c4 PE=1 SV=2;sp|Q8BMQ2-3|TF3C4_MOUSE Isoform 3 of General transcription factor 3C polypeptide 4 OS=Mus musculus OX=10090 GN=Gtf3c4
273810	273790	197180	359330	294580	316340	149280	273450	184980	388310	227450	292390	441930	292520	363640	259260	352120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	2.6	2.6	2.6	125.33	0.00054091	2.5113	4	Q8BMQ3;Q8BMQ3-2	Q8BMQ3;Q8BMQ3-2	Zinc finger protein basonuclin-2	Bnc2	4378	sp|Q8BMQ3|BNC2_MOUSE Zinc finger protein basonuclin-2 OS=Mus musculus OX=10090 GN=Bnc2 PE=1 SV=3;sp|Q8BMQ3-2|BNC2_MOUSE Isoform 2 of Zinc finger protein basonuclin-2 OS=Mus musculus OX=10090 GN=Bnc2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86085	104990	129680	88554	135410	118830	118940	125310	83439	76118	113830	84661	94188	94634	119860	105830	125790	1	1	1	2.9	2.9	2.9	60.015	0.006343	1.4972	2	Q8BMQ8	Q8BMQ8	Vacuolar fusion protein MON1 homolog B	Mon1b	4379	sp|Q8BMQ8|MON1B_MOUSE Vacuolar fusion protein MON1 homolog B OS=Mus musculus OX=10090 GN=Mon1b PE=2 SV=1
49651000	55583000	40132000	64677000	56342000	61672000	37775000	43849000	46224000	68106000	52199000	49275000	74536000	60105000	60895000	49615000	63159000	43661000	52504000	43746000	45239000	49550000	61951000	53847000	50057000	38492000	39905000	53140000	44882000	53903000	48786000	50532000	39999000	53218000	42	42	42	68.2	68.2	68.2	82.669	0	323.31	622	Q8BMS1	Q8BMS1	Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase	Hadha	4380	sp|Q8BMS1|ECHA_MOUSE Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Hadha PE=1 SV=1
1704700	1572200	1196900	1918100	1795900	1820100	1027600	1376400	1336100	2165900	1353600	1572300	2089100	1476400	1867100	1260100	1721500	674020	792190	719590	721510	841310	1019500	885730	945530	659790	669330	829560	918470	885040	816470	915880	582480	882840	6	6	6	21.6	21.6	21.6	40.956	0	233.79	31	Q8BMS4	Q8BMS4	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	Coq3	4381	sp|Q8BMS4|COQ3_MOUSE Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Coq3 PE=1 SV=1
5571.39990234375	2776.80004882813	4701.7001953125	2735.10009765625	2417.5	3090.69995117188	1849.69995117188	4040.80004882813	4261.5	5812	1762.09997558594	2467.60009765625	6755.39990234375	2108.19995117188	3710	1562.5	2706.60009765625	92633	130110	88604	106850	98986	137830	129320	110880	85311	82552	122460	101390	123140	104340	138890	86125	121490	3	3	3	14.2	14.2	14.2	34.196	0	141.57	6	Q8BMZ5;Q8BMZ5-2	Q8BMZ5;Q8BMZ5-2	tRNA-splicing endonuclease subunit Sen34	Tsen34	4382	sp|Q8BMZ5|SEN34_MOUSE tRNA-splicing endonuclease subunit Sen34 OS=Mus musculus OX=10090 GN=Tsen34 PE=2 SV=2;sp|Q8BMZ5-2|SEN34_MOUSE Isoform 2 of tRNA-splicing endonuclease subunit Sen34 OS=Mus musculus OX=10090 GN=Tsen34
91356	118830	80944	136560	126640	122360	83098	87933	94080	127070	95443	90518	135740	116200	111020	97836	118820	187240	226330	227270	218340	220640	296270	241070	212430	123760	137280	216070	183130	232010	185150	230750	135150	233820	6	6	6	17.3	17.3	17.3	58.118	0	31.993	6	Q8BN21;Q8BN21-2;Q8BN21-3	Q8BN21;Q8BN21-2	Serine/threonine-protein kinase VRK2	Vrk2	4383	sp|Q8BN21|VRK2_MOUSE Serine/threonine-protein kinase VRK2 OS=Mus musculus OX=10090 GN=Vrk2 PE=1 SV=2;sp|Q8BN21-2|VRK2_MOUSE Isoform 2 of Serine/threonine-protein kinase VRK2 OS=Mus musculus OX=10090 GN=Vrk2
51443	82879	55187	78013	97983	79083	46640	57630	69795	81951	64421	60322	116310	75804	63178	69014	73347	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	3.7	3.7	3.7	33.667	0	9.4383	1	Q8BN57	Q8BN57	Protein C3orf33 homolog		4384	sp|Q8BN57|CC033_MOUSE Protein C3orf33 homolog OS=Mus musculus OX=10090 PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10707	11687	9994.599609375	13150	12964	13571	13518	11874	9337.599609375	7543.89990234375	11257	8820.7001953125	12489	11407	11662	10046	12469	2	2	2	6.3	6.3	6.3	74.049	0	42.986	1	Q8BN78	Q8BN78	Transcriptional regulator Kaiso	Zbtb33	4385	sp|Q8BN78|KAISO_MOUSE Transcriptional regulator Kaiso OS=Mus musculus OX=10090 GN=Zbtb33 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	4.2	4.2	4.2	54.369	0	97.958	0	Q8BN82;Q8BN82-3;Q8BN82-2	Q8BN82;Q8BN82-3;Q8BN82-2	Sialin	Slc17a5	4386	sp|Q8BN82|S17A5_MOUSE Sialin OS=Mus musculus OX=10090 GN=Slc17a5 PE=1 SV=2;sp|Q8BN82-3|S17A5_MOUSE Isoform 3 of Sialin OS=Mus musculus OX=10090 GN=Slc17a5;sp|Q8BN82-2|S17A5_MOUSE Isoform 2 of Sialin OS=Mus musculus OX=10090 GN=Slc17a5
226330	278030	198290	293340	263670	259030	198110	201410	206460	285260	261600	244490	404620	263730	208850	244220	325040	14911	26075	26869	29114	37105	23511	23494	26251	32239	23945	29704	21837	23488	36609	21350	41392	34455	7	7	7	15	15	15	63.336	0	105.43	12	Q8BND5-3;Q8BND5;Q8BND5-2;Q8BND5-4	Q8BND5-3;Q8BND5;Q8BND5-2	Sulfhydryl oxidase 1	Qsox1	4388	sp|Q8BND5-3|QSOX1_MOUSE Isoform 3 of Sulfhydryl oxidase 1 OS=Mus musculus OX=10090 GN=Qsox1;sp|Q8BND5|QSOX1_MOUSE Sulfhydryl oxidase 1 OS=Mus musculus OX=10090 GN=Qsox1 PE=1 SV=1;sp|Q8BND5-2|QSOX1_MOUSE Isoform 2 of Sulfhydryl oxidase 1 OS=Mus musculus OX=
549140	593590	457560	688430	609140	601610	397830	460040	442530	721520	582350	529270	752110	669670	563630	500030	637990	399120	466990	419760	534550	419880	540210	482490	443570	333320	257910	394000	358050	414410	461280	474920	331060	513870	3	3	3	17.2	17.2	17.2	27.639	0	44.389	22	Q8BNI4;Q8BNI4-2	Q8BNI4	Derlin-2	Derl2	4389	sp|Q8BNI4|DERL2_MOUSE Derlin-2 OS=Mus musculus OX=10090 GN=Derl2 PE=1 SV=2
53819	49651	32121	55276	65185	57014	32277	43072	38611	55535	43705	42054	68306	56902	54181	37210	48611	8213.2998046875	6480.2001953125	11361	9538.900390625	16051	13464	12454	12043	11305	10032	13386	16196	22126	6758.2001953125	10364	11751	16947	3	3	3	14.8	14.8	14.8	27.624	0	22.767	4	Q8BNL5	Q8BNL5	BTB/POZ domain-containing protein KCTD6	Kctd6	4390	sp|Q8BNL5|KCTD6_MOUSE BTB/POZ domain-containing protein KCTD6 OS=Mus musculus OX=10090 GN=Kctd6 PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	11.7	11.7	11.7	46.771	0	166.24	0	Q8BNN1	Q8BNN1	Spermatogenesis-associated protein 2-like protein	Spata2l	4391	sp|Q8BNN1|SPA2L_MOUSE Spermatogenesis-associated protein 2-like protein OS=Mus musculus OX=10090 GN=Spata2l PE=1 SV=1
66569	69919	56126	86127	73355	71824	42397	59967	51383	69355	69666	54063	73354	64594	62198	53930	65895	144040	151370	164900	183020	152140	215060	172060	175060	136480	113950	159680	141510	169130	160210	194090	173100	179520	5	5	5	16.7	16.7	16.7	50.683	0	20.601	8	Q8BNU0;Q8BNU0-2	Q8BNU0	Armadillo repeat-containing protein 6	Armc6	4392	sp|Q8BNU0|ARMC6_MOUSE Armadillo repeat-containing protein 6 OS=Mus musculus OX=10090 GN=Armc6 PE=1 SV=1
201290	164450	137210	230910	208510	212390	137630	151300	182480	241940	168660	179520	266820	208570	242670	193780	192330	510630	502370	531900	542310	537140	702520	588110	549140	439570	415550	570090	565820	505720	549470	597840	534760	624390	9	9	9	23.9	23.9	23.9	63.301	0	91.086	22	Q8BNV1	Q8BNV1	tRNA (uracil-5-)-methyltransferase homolog A	Trmt2a	4393	sp|Q8BNV1|TRM2A_MOUSE tRNA (uracil-5-)-methyltransferase homolog A OS=Mus musculus OX=10090 GN=Trmt2a PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.4	2.4	2.4	67.945	0	10.53	0	Q8BNW9	Q8BNW9	Kelch repeat and BTB domain-containing protein 11	Kbtbd11	4394	sp|Q8BNW9|KBTBB_MOUSE Kelch repeat and BTB domain-containing protein 11 OS=Mus musculus OX=10090 GN=Kbtbd11 PE=1 SV=3
1038700	1471500	887160	1494900	1357000	1542900	933380	975690	999140	1368900	871090	943070	1150400	884390	774560	702540	967490	869760	1227600	935410	953040	1105900	1480600	1311800	1247500	1001900	610640	1001000	880130	925370	898140	930280	695840	1049300	4	4	4	18.7	18.7	18.7	33.326	0	252.95	15	Q8BNX1	Q8BNX1	C-type lectin domain family 4 member G	Clec4g	4395	sp|Q8BNX1|CLC4G_MOUSE C-type lectin domain family 4 member G OS=Mus musculus OX=10090 GN=Clec4g PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	5.4	5.4	5.4	39.958	0	56.073	0	Q8BP22	Q8BP22	Protein FAM92A1	Fam92a1	4396	sp|Q8BP22|FA92A_MOUSE Protein FAM92A OS=Mus musculus OX=10090 GN=Fam92a PE=1 SV=1
92199	78019	56203	81519	73135	87700	34563	55913	55428	87670	37900	73315	88577	77172	96788	53873	64439	79117	84291	67898	86260	93133	136600	108620	113590	82874	64287	79344	103030	114420	108110	114330	63331	87220	4	4	4	28.5	28.5	28.5	35.182	0	323.31	3	Q8BP27;Q8BP27-2;Q8BP27-3	Q8BP27;Q8BP27-2;Q8BP27-3	Swi5-dependent recombination DNA repair protein 1 homolog	Sfr1	4397	sp|Q8BP27|SFR1_MOUSE Swi5-dependent recombination DNA repair protein 1 homolog OS=Mus musculus OX=10090 GN=Sfr1 PE=1 SV=2;sp|Q8BP27-2|SFR1_MOUSE Isoform 2 of Swi5-dependent recombination DNA repair protein 1 homolog OS=Mus musculus OX=10090 GN=Sfr1;sp|Q8BP
1500400	1890300	1172500	1864600	1778800	1866800	1058500	1060700	1378000	1831000	1300800	1325400	1849700	1624600	1837500	1099900	1507100	1481200	2084600	1581100	1739400	1978200	2599400	2149600	1991400	1444700	1390900	1942400	1748200	2111300	1889200	1986600	1502600	2187500	12	12	12	36.4	36.4	36.4	47.624	0	109.13	39	Q8BP40	Q8BP40	Lysophosphatidic acid phosphatase type 6	Acp6	4398	sp|Q8BP40|PPA6_MOUSE Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 GN=Acp6 PE=1 SV=1
3542600	3762300	2783700	4246000	3848300	4193400	2380600	2919400	3133000	4159300	3268100	3583500	4366800	3668100	4062400	2866400	3822400	3534700	4042600	4143300	4385600	5939300	5424000	4830800	4204800	3767100	2691700	4008900	3817200	4413800	4268300	4777500	3639300	4560400	31	31	31	49.2	49.2	49.2	64.279	0	323.31	180	Q8BP47	Q8BP47	Asparagine--tRNA ligase, cytoplasmic	Nars	4399	sp|Q8BP47|SYNC_MOUSE Asparagine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=NARS1 PE=1 SV=2
1108000	1358700	893950	1312300	1210100	1537200	930170	1000100	1023600	1381300	969540	1118500	1545700	1213100	1376200	1034500	1223900	3166000	3417300	3072100	3460900	3578600	4522500	3862100	3619000	2880700	2177900	3190300	2767300	3293400	3500300	3810500	2679300	3939100	15	15	15	55.2	55.2	55.2	43.221	0	323.31	53	Q8BP48	Q8BP48	Methionine aminopeptidase 1	Metap1	4400	sp|Q8BP48|MAP11_MOUSE Methionine aminopeptidase 1 OS=Mus musculus OX=10090 GN=Metap1 PE=1 SV=1
460480	406790	261810	495050	479150	430050	247310	298820	249830	621900	412060	404650	672020	509320	494830	370810	565860	544310	691430	503220	543030	643440	857060	722370	684620	475200	599230	847100	734850	1013700	773180	870920	839100	832000	13	13	13	24.1	24.1	24.1	76.487	0	323.31	29	Q8BP56;Q8BP56-3;Q8BP56-2	Q8BP56;Q8BP56-3;Q8BP56-2	Acid trehalase-like protein 1	Athl1	4401	sp|Q8BP56|PGGHG_MOUSE Protein-glucosylgalactosylhydroxylysine glucosidase OS=Mus musculus OX=10090 GN=Pgghg PE=1 SV=1;sp|Q8BP56-3|PGGHG_MOUSE Isoform 3 of Protein-glucosylgalactosylhydroxylysine glucosidase OS=Mus musculus OX=10090 GN=Pgghg;sp|Q8BP56-2|PGG
2468000	7920700	2289800	3502500	2586000	3898000	1823700	2778500	3218700	2580000	1701200	2385900	2725300	2058000	1887600	1444900	2372400	1138900	1176400	1308400	1398800	628800	1855500	1621000	1622900	1495500	643170	1000100	992660	910940	1112300	995390	783550	1301100	4	4	4	25.5	25.5	25.5	17.779	0	323.31	20	Q8BP67	Q8BP67	60S ribosomal protein L24	Rpl24	4402	sp|Q8BP67|RL24_MOUSE 60S ribosomal protein L24 OS=Mus musculus OX=10090 GN=Rpl24 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9156.7001953125	14066	14554	13094	14185	19191	19103	12285	11934	10348	15691	13519	17452	17705	16117	11615	14885	3	3	3	14.9	14.9	14.9	47.33	0	187.94	5	Q8BP71;Q8BP71-5;Q8BP71-2	Q8BP71;Q8BP71-5	RNA binding protein fox-1 homolog 2	Rbfox2	4403	sp|Q8BP71|RFOX2_MOUSE RNA binding protein fox-1 homolog 2 OS=Mus musculus OX=10090 GN=Rbfox2 PE=1 SV=2;sp|Q8BP71-5|RFOX2_MOUSE Isoform 5 of RNA binding protein fox-1 homolog 2 OS=Mus musculus OX=10090 GN=Rbfox2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	2	14.6	14.6	7.6	37.202	0	30.942	0	Q8BP78	Q8BP78	Protein FRA10AC1 homolog	Fra10ac1	4404	sp|Q8BP78|F10C1_MOUSE Protein FRA10AC1 homolog OS=Mus musculus OX=10090 GN=Fra10ac1 PE=1 SV=3
119560	158180	106290	164430	179680	172040	96805	101420	146830	185180	160600	135070	212100	144440	201970	161910	168430	399460	443220	357170	464280	526930	579430	417640	412770	302850	239250	399650	357570	401930	382200	433800	337680	423920	9	9	9	31.2	31.2	31.2	37.27	0	27.171	16	Q8BP92	Q8BP92	Reticulocalbin-2	Rcn2	4405	sp|Q8BP92|RCN2_MOUSE Reticulocalbin-2 OS=Mus musculus OX=10090 GN=Rcn2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	1	1	10.4	7	7	25.232	0	183.47	0	Q8BP99	Q8BP99	UPF0500 protein C1orf216 homolog		4406	sp|Q8BP99|CA216_MOUSE UPF0500 protein C1orf216 homolog OS=Mus musculus OX=10090 PE=2 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	1	1	23.1	3.2	3.2	25.091	0.0017269	2.0562	1	Q8BPB0	Q8BPB0	MOB kinase activator 1B	Mob1b	4407	sp|Q8BPB0|MOB1B_MOUSE MOB kinase activator 1B OS=Mus musculus OX=10090 GN=Mob1b PE=1 SV=3
303390	288570	165920	294460	319660	354570	187680	282960	245620	297790	225380	261450	387260	281820	286280	271280	313820	249760	232070	201650	299760	444500	361860	309770	350660	226210	233130	290500	246670	248100	276790	316150	253110	286870	8	8	8	23.1	23.1	23.1	54.952	0	115.01	20	Q8BPB5	Q8BPB5	EGF-containing fibulin-like extracellular matrix protein 1	Efemp1	4408	sp|Q8BPB5|FBLN3_MOUSE EGF-containing fibulin-like extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Efemp1 PE=1 SV=1
1086900	1251000	759270	1339000	1260400	1291400	733560	938660	906560	1292300	924790	899530	1298800	1072900	1079300	884630	1187100	413120	495820	411000	452000	480810	669760	559210	570910	396500	345050	543340	488030	539480	519120	604660	400340	585970	18	18	18	17	17	17	123.37	0	254.25	34	Q8BPM0;Q8BPM0-2;Q8BPM0-3	Q8BPM0;Q8BPM0-2;Q8BPM0-3	Disheveled-associated activator of morphogenesis 1	Daam1	4409	sp|Q8BPM0|DAAM1_MOUSE Disheveled-associated activator of morphogenesis 1 OS=Mus musculus OX=10090 GN=Daam1 PE=1 SV=4;sp|Q8BPM0-2|DAAM1_MOUSE Isoform 2 of Disheveled-associated activator of morphogenesis 1 OS=Mus musculus OX=10090 GN=Daam1;sp|Q8BPM0-3|DAAM1
67954	84985	47297	70451	86304	96049	33135	59602	69396	80894	43306	79497	92076	60961	78999	56844	81028	65193	58673	55046	70178	44822	100490	70317	62463	34443	51070	71590	54443	64263	66375	71786	47057	56844	9	9	9	12.4	12.4	12.4	95.044	0	252.7	8	Q8BPM2;Q8BPM2-2	Q8BPM2;Q8BPM2-2	Mitogen-activated protein kinase kinase kinase kinase 5	Map4k5	4410	sp|Q8BPM2|M4K5_MOUSE Mitogen-activated protein kinase kinase kinase kinase 5 OS=Mus musculus OX=10090 GN=Map4k5 PE=1 SV=2;sp|Q8BPM2-2|M4K5_MOUSE Isoform 2 of Mitogen-activated protein kinase kinase kinase kinase 5 OS=Mus musculus OX=10090 GN=Map4k5
150920	203380	122550	258990	281160	227260	170950	178360	203860	237190	168530	179170	243730	211350	166070	138990	181820	321790	371610	365570	394340	446240	537810	395060	468200	368410	248590	375110	441630	374560	377270	417260	308680	374910	17	17	17	8.6	8.6	8.6	338.2	0	102.54	14	Q8BPN8;Q8BPN8-2;Q8BPN8-3	Q8BPN8;Q8BPN8-2	DmX-like protein 2	Dmxl2	4411	sp|Q8BPN8|DMXL2_MOUSE DmX-like protein 2 OS=Mus musculus OX=10090 GN=Dmxl2 PE=1 SV=3;sp|Q8BPN8-2|DMXL2_MOUSE Isoform 2 of DmX-like protein 2 OS=Mus musculus OX=10090 GN=Dmxl2
782.700012207031	1506	817.150024414063	1256	791.219970703125	1262.59997558594	NaN	NaN	583.929992675781	1757.80004882813	NaN	672.210021972656	930.97998046875	736.320007324219	895.72998046875	564.690002441406	688.710021972656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.9	2.9	2.9	48.974	0.001856	2.0216	1	Q8BPS4	Q8BPS4	Integral membrane protein GPR180	Gpr180	4412	sp|Q8BPS4|GP180_MOUSE Integral membrane protein GPR180 OS=Mus musculus OX=10090 GN=Gpr180 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112850	154810	130280	128670	155010	212110	166210	163280	115940	124490	137260	144100	201770	151780	192960	99036	136020	2	2	2	10.3	10.3	10.3	19.6	0.00067159	2.3501	4	Q8BPT6	Q8BPT6	Mitochondrial inner membrane protease subunit 2	Immp2l	4413	sp|Q8BPT6|IMP2L_MOUSE Mitochondrial inner membrane protease subunit 2 OS=Mus musculus OX=10090 GN=Immp2l PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1188.09997558594	NaN	665.419982910156	1039.90002441406	1220.19995117188	756.429992675781	912.179992675781	810.869995117188	809.010009765625	1238.40002441406	982.02001953125	698.190002441406	837.47998046875	1151	NaN	702.219970703125	3	3	3	9.8	9.8	9.8	46.039	0	90.992	1	Q8BPZ8;Q8BPZ8-2	Q8BPZ8	BRCA1-A complex subunit Abraxas	Fam175a	4414	sp|Q8BPZ8|ABRX1_MOUSE BRCA1-A complex subunit Abraxas 1 OS=Mus musculus OX=10090 GN=Abraxas1 PE=1 SV=1
166920	224230	123340	231750	222270	281700	169240	155760	173030	252770	186050	151500	240530	192390	180460	161410	197240	501140	661670	614170	588540	660690	827990	678490	619910	503070	348370	534850	503880	513480	575150	508370	428980	528830	7	7	7	32.7	32.7	32.7	28.093	0	272.37	17	Q8BQ47	Q8BQ47	Protein canopy homolog 4	Cnpy4	4415	sp|Q8BQ47|CNPY4_MOUSE Protein canopy homolog 4 OS=Mus musculus OX=10090 GN=Cnpy4 PE=1 SV=1
156000	186820	93456	184930	164480	182920	90085	135080	113740	193050	158730	142590	181760	188280	199680	121460	186620	216550	265690	309920	238680	295890	379070	321190	363690	279210	215480	264160	276440	317950	301500	349110	198670	296240	7	7	7	16.5	16.5	16.5	74.305	0	323.31	12	Q8BQM4	Q8BQM4	HEAT repeat-containing protein 3	Heatr3	4416	sp|Q8BQM4|HEAT3_MOUSE HEAT repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Heatr3 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	8.4	8.4	8.4	54.173	0	123.18	1	Q8BQR4;Q8BQR4-2;Q8BQR4-4	Q8BQR4;Q8BQR4-2;Q8BQR4-4	KAT8 regulatory NSL complex subunit 2	Kansl2	4417	sp|Q8BQR4|KANL2_MOUSE KAT8 regulatory NSL complex subunit 2 OS=Mus musculus OX=10090 GN=Kansl2 PE=1 SV=1;sp|Q8BQR4-2|KANL2_MOUSE Isoform 2 of KAT8 regulatory NSL complex subunit 2 OS=Mus musculus OX=10090 GN=Kansl2;sp|Q8BQR4-4|KANL2_MOUSE Isoform 3 of KAT8
515770	537700	403870	743320	615040	500370	291000	423320	513520	724010	746190	902520	1007600	582180	421060	559640	764410	219430	196120	323000	240150	191790	227290	164180	224420	268150	165070	291440	248360	280900	243770	282720	250700	293580	3	3	3	10.6	10.6	10.6	43.98	0.00067168	2.3528	5	Q8BQS5;Q8BQS5-2	Q8BQS5;Q8BQS5-2	Adiponectin receptor protein 2	Adipor2	4418	sp|Q8BQS5|PAQR2_MOUSE Adiponectin receptor protein 2 OS=Mus musculus OX=10090 GN=Adipor2 PE=1 SV=2;sp|Q8BQS5-2|PAQR2_MOUSE Isoform 2 of Adiponectin receptor protein 2 OS=Mus musculus OX=10090 GN=Adipor2
9225.900390625	17993	6276.5	12995	7754	16079	5582.7998046875	9029.2998046875	7984.39990234375	8370.599609375	5348.10009765625	10828	11226	8643.599609375	9767.7001953125	9178.900390625	10859	87267	95609	84436	94053	106920	133760	117250	104330	92965	68342	98332	81438	103230	84688	118810	73120	94116	5	5	5	48	48	48	14.468	0	14.647	6	Q8BQU3	Q8BQU3	Succinate dehydrogenase assembly factor 3, mitochondrial	Sdhaf3	4419	sp|Q8BQU3|SDHF3_MOUSE Succinate dehydrogenase assembly factor 3, mitochondrial OS=Mus musculus OX=10090 GN=Sdhaf3 PE=2 SV=1
118530	163350	88822	195660	120500	142390	91739	81163	91675	170080	102430	137040	143300	136520	126740	115930	152410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	8	8	8.9	8.9	8.9	165.2	0	323.31	4	Q8BQZ4;Q8BQZ4-2	Q8BQZ4;Q8BQZ4-2	Ral GTPase-activating protein subunit beta	Ralgapb	4420	sp|Q8BQZ4|RLGPB_MOUSE Ral GTPase-activating protein subunit beta OS=Mus musculus OX=10090 GN=Ralgapb PE=1 SV=2;sp|Q8BQZ4-2|RLGPB_MOUSE Isoform 2 of Ral GTPase-activating protein subunit beta OS=Mus musculus OX=10090 GN=Ralgapb
