Ink_P1	Ink_15	Ink_1	Ink_9	Ink_13	Ink_6	Ink_3	Ink_11	Ink_4	Ink_12	Ink_5	Ink_2	Ink_15	Ink_14	Ink_7	Ink_16	Ink_8	Ink_P2	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
140820	158380	210000	147820	187180	187390	185160	167920	186880	168320	155590	197570	184810	190820	168350	191430	196160	161100	-1	30	1	1	35.7	1.6	1.6	131.27	0	13.465	2	Q810U4-2	Q810U4-2	Neuronal cell adhesion molecule	Nrcam	4280	sp|Q810U4-2|NRCAM_MOUSE Isoform 2 of Neuronal cell adhesion molecule OS=Mus musculus OX=10090 GN=Nrcam
1482000	2090500	2688300	2127300	2153900	2436000	2086900	2163700	2587000	2033000	2436500	2127600	2466500	2422500	2430500	1982500	1870800	1684600	-1	33	33	3	36.2	36.2	2.9	139.04	0	323.31	62	Q810U4-3	Q810U4-3	Neuronal cell adhesion molecule	Nrcam	4281	sp|Q810U4-3|NRCAM_MOUSE Isoform 3 of Neuronal cell adhesion molecule OS=Mus musculus OX=10090 GN=Nrcam
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	9	1	1	37.3	6.5	6.5	28.964	0	4.6228	4	Q810U4-5	Q810U4-5	Neuronal cell adhesion molecule	Nrcam	4282	sp|Q810U4-5|NRCAM_MOUSE Isoform 5 of Neuronal cell adhesion molecule OS=Mus musculus OX=10090 GN=Nrcam
51233	57144	69843	57269	59333	75511	75848	72195	76513	55351	55044	63710	67914	65259	64901	72006	74384	52010	-1	3	3	3	14.8	14.8	14.8	30.666	0	7.1237	4	Q810U5-3;Q810U5;Q810U5-2	Q810U5-3;Q810U5;Q810U5-2	Coiled-coil domain-containing protein 50	Ccdc50	4283	sp|Q810U5-3|CCD50_MOUSE Isoform 3 of Coiled-coil domain-containing protein 50 OS=Mus musculus OX=10090 GN=Ccdc50;sp|Q810U5|CCD50_MOUSE Coiled-coil domain-containing protein 50 OS=Mus musculus OX=10090 GN=Ccdc50 PE=1 SV=1;sp|Q810U5-2|CCD50_MOUSE Isoform 2 o
3459.60009765625	4937.7001953125	7361.89990234375	6931.2998046875	4804.39990234375	7397.39990234375	4490.7001953125	4665.7001953125	6265.2001953125	5044.2001953125	5998.7998046875	6372	6221.39990234375	5996.7998046875	6795.10009765625	2079.30004882813	1210.90002441406	4747.2998046875	-1	1	1	1	2.1	2.1	2.1	78.734	0.00080994	2.705	1	Q810V0	Q810V0	U3 small nucleolar ribonucleoprotein protein MPP10	Mphosph10	4284	sp|Q810V0|MPP10_MOUSE U3 small nucleolar ribonucleoprotein protein MPP10 OS=Mus musculus OX=10090 GN=Mphosph10 PE=1 SV=2
2411.39990234375	1603.90002441406	4306.2001953125	3193.89990234375	2649.89990234375	4986.2001953125	370.339996337891	1646.69995117188	4784.60009765625	1663.69995117188	2909.39990234375	3550.30004882813	3261.39990234375	1303.90002441406	2124.19995117188	342.739990234375	NaN	2142	-1	1	1	1	1.8	1.8	1.8	107.3	0	23.321	2	Q811B1	Q811B1	Xylosyltransferase 1	Xylt1	4285	sp|Q811B1|XYLT1_MOUSE Xylosyltransferase 1 OS=Mus musculus OX=10090 GN=Xylt1 PE=1 SV=1
10935	16315	14719	17847	14154	13851	13668	17251	16927	16155	15240	15942	15392	14900	17640	18877	20288	13273	-1	6	6	6	15.9	15.9	15.9	52.055	0	118.82	2	Q811C2	Q811C2	Cysteine protease ATG4C	Atg4c	4286	sp|Q811C2|ATG4C_MOUSE Cysteine protease ATG4C OS=Mus musculus OX=10090 GN=Atg4c PE=1 SV=2
1214700	1635400	2034100	1601300	1675800	1864600	1614200	1598100	1928000	1706500	1784300	1645400	1659900	1672000	1958300	1969000	2130100	1313900	-1	34	26	3	45.9	38.7	1.7	100.12	0	323.31	39	Q811D0	Q811D0	Disks large homolog 1	Dlg1	4287	sp|Q811D0|DLG1_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	32	1	1	47.9	3.1	3.1	99.629	0.0083082	1.4252	0	Q811D0-2;Q811D0-3	Q811D0-2;Q811D0-3	Disks large homolog 1	Dlg1	4288	sp|Q811D0-2|DLG1_MOUSE Isoform 2 of Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1;sp|Q811D0-3|DLG1_MOUSE Isoform 3 of Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1
5719.10009765625	7540.2001953125	6754.7998046875	12770	9014.5	8762.900390625	14321	4852.7998046875	4473.10009765625	6234.2998046875	6784.7998046875	8984.5	10527	9004.2001953125	6130.39990234375	7334.7001953125	4872.7998046875	5455.7998046875	-1	3	3	3	2.9	2.9	2.9	180.64	0	8.811	1	Q811D2	Q811D2	Ankyrin repeat domain-containing protein 26	Ankrd26	4289	sp|Q811D2|ANR26_MOUSE Ankyrin repeat domain-containing protein 26 OS=Mus musculus OX=10090 GN=Ankrd26 PE=1 SV=2
14695	19837	21582	20823	17681	25848	20364	19854	25248	21194	16520	22113	21212	21914	22457	21871	27485	15594	-1	3	3	3	4.6	4.6	4.6	99.056	0	16.695	4	Q811G0;Q811G0-2;Q811G0-4	Q811G0;Q811G0-2;Q811G0-4	Protein PTHB1	Bbs9	4290	sp|Q811G0|PTHB1_MOUSE Protein PTHB1 OS=Mus musculus OX=10090 GN=Bbs9 PE=1 SV=2;sp|Q811G0-2|PTHB1_MOUSE Isoform 2 of Protein PTHB1 OS=Mus musculus OX=10090 GN=Bbs9;sp|Q811G0-4|PTHB1_MOUSE Isoform 4 of Protein PTHB1 OS=Mus musculus OX=10090 GN=Bbs9
367870	436080	507460	438580	425520	492420	652010	499230	515360	553290	400460	448760	476460	513010	537350	497930	602600	366190	-1	11	11	11	38.9	38.9	38.9	36.354	0	32.748	14	Q811I0	Q811I0	ATP synthase mitochondrial F1 complex assembly factor 1	Atpaf1	4291	sp|Q811I0|ATPF1_MOUSE ATP synthase mitochondrial F1 complex assembly factor 1 OS=Mus musculus OX=10090 GN=Atpaf1 PE=1 SV=1
23665	32314	41587	31356	33654	34542	42527	29493	37387	35845	34521	30219	33407	35898	33584	35886	35188	24467	-1	6	6	6	6.4	6.4	6.4	104.92	0	12.094	6	Q811J3	Q811J3	Iron-responsive element-binding protein 2	Ireb2	4292	sp|Q811J3|IREB2_MOUSE Iron-responsive element-binding protein 2 OS=Mus musculus OX=10090 GN=Ireb2 PE=1 SV=2
47357	62678	73662	55129	62871	68662	75972	63309	76812	59970	61572	66934	66726	72421	70764	61463	59155	58980	-1	15	11	11	7.2	5.5	5.5	284	0	35.136	8	Q811L6;Q811L6-2	Q811L6	Microtubule-associated serine/threonine-protein kinase 4	Mast4	4293	sp|Q811L6|MAST4_MOUSE Microtubule-associated serine/threonine-protein kinase 4 OS=Mus musculus OX=10090 GN=Mast4 PE=1 SV=3
373760	510350	655690	508510	484580	570860	372280	500390	672820	544450	608920	525330	581410	564320	618110	533390	464070	411370	-1	43	43	42	29.5	29.5	29	229.72	0	323.31	47	Q811P8;Q811P8-2	Q811P8;Q811P8-2	Rho GTPase-activating protein 32	Arhgap32	4294	sp|Q811P8|RHG32_MOUSE Rho GTPase-activating protein 32 OS=Mus musculus OX=10090 GN=Arhgap32 PE=1 SV=2;sp|Q811P8-2|RHG32_MOUSE Isoform 2 of Rho GTPase-activating protein 32 OS=Mus musculus OX=10090 GN=Arhgap32
205610	249370	306150	265100	272350	312480	391680	260580	321750	283920	268630	275030	291850	282020	296540	268740	325650	233180	-1	11	11	8	43.4	43.4	31.7	41.9	0	169.69	9	Q811Q9;Q811Q9-2	Q811Q9;Q811Q9-2	Choline-phosphate cytidylyltransferase B	Pcyt1b	4295	sp|Q811Q9|PCY1B_MOUSE Choline-phosphate cytidylyltransferase B OS=Mus musculus OX=10090 GN=Pcyt1b PE=1 SV=2;sp|Q811Q9-2|PCY1B_MOUSE Isoform 2 of Choline-phosphate cytidylyltransferase B OS=Mus musculus OX=10090 GN=Pcyt1b
188200	245480	334690	283550	267470	319920	280200	247140	316110	278160	261190	262340	305160	292760	287510	293100	306410	203730	-1	10	10	9	23.7	23.7	20.4	60.211	0	34.412	12	Q811S7;Q811S7-2	Q811S7;Q811S7-2	Upstream-binding protein 1	Ubp1	4296	sp|Q811S7|UBIP1_MOUSE Upstream-binding protein 1 OS=Mus musculus OX=10090 GN=Ubp1 PE=1 SV=1;sp|Q811S7-2|UBIP1_MOUSE Isoform 2 of Upstream-binding protein 1 OS=Mus musculus OX=10090 GN=Ubp1
58765	83916	94405	80407	89141	100470	129990	84281	97566	80601	77795	85720	91491	95241	96432	85815	110490	65507	-1	7	6	6	10.9	10	10	83.725	0	39.342	7	Q811U4	Q811U4	Mitofusin-1	Mfn1	4297	sp|Q811U4|MFN1_MOUSE Mitofusin-1 OS=Mus musculus OX=10090 GN=Mfn1 PE=1 SV=3
625110	855980	1043800	862080	882550	983210	978080	896290	949510	824500	952080	855980	916290	936720	930000	938750	1025700	698790	-1	42	42	38	40.2	40.2	36.6	124.42	0	276.1	50	Q812A2	Q812A2	SLIT-ROBO Rho GTPase-activating protein 3	Srgap3	4298	sp|Q812A2|SRGP3_MOUSE SLIT-ROBO Rho GTPase-activating protein 3 OS=Mus musculus OX=10090 GN=Srgap3 PE=1 SV=1
67344	90103	117630	93064	99502	113480	79609	91291	113930	97642	107370	106870	112920	114730	118780	69706	48752	84438	-1	15	6	6	35.5	15.5	15.5	58.441	0	24.747	8	Q812E0	Q812E0	Cytoplasmic polyadenylation element-binding protein 2	Cpeb2	4299	sp|Q812E0|CPEB2_MOUSE Cytoplasmic polyadenylation element-binding protein 2 OS=Mus musculus OX=10090 GN=Cpeb2 PE=1 SV=1
29726	34458	42454	41836	43666	48760	44050	41546	40660	40417	41639	41718	43875	36679	46237	50700	48352	30652	-1	2	2	2	0.7	0.7	0.7	396.43	0.0023638	2.2077	2	Q83017;Q83017-2	Q83017;Q83017-2			4300	sp|Q83017|RPOA_LDVP Replicase polyprotein 1ab OS=Lactate dehydrogenase elevating virus (strain Plagemann) OX=300016 GN=rep PE=1 SV=2;sp|Q83017-2|RPOA_LDVP Isoform Replicase polyprotein 1a of Replicase polyprotein 1ab OS=Lactate dehydrogenase elevating viru
491830	682170	805860	643860	601290	760750	591120	682080	777980	690090	787360	666190	729840	727840	801560	784400	791740	524410	-1	13	12	12	39.6	37.1	37.1	48.994	0	135.59	18	Q8BFP9	Q8BFP9	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	Pdk1	4301	sp|Q8BFP9|PDK1_MOUSE [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Mus musculus OX=10090 GN=Pdk1 PE=1 SV=2
322240	439630	564870	488090	555250	548220	438100	426960	600480	484890	523160	486530	504650	475820	548510	504120	518180	409270	-1	7	7	7	27.2	27.2	27.2	35.079	0	79.384	8	Q8BFQ4	Q8BFQ4	WD repeat-containing protein 82	Wdr82	4302	sp|Q8BFQ4|WDR82_MOUSE WD repeat-containing protein 82 OS=Mus musculus OX=10090 GN=Wdr82 PE=1 SV=1
278.290008544922	310.420013427734	526	339.540008544922	356.390014648438	440.510009765625	378.489990234375	578.72998046875	650.52001953125	770.460021972656	214.289993286133	521.460021972656	575.320007324219	198.720001220703	558.950012207031	414.149993896484	473.970001220703	358.809997558594	-1	1	1	1	3.1	3.1	3.1	51.909	0.0015951	2.3995	1	Q8BFQ6	Q8BFQ6	Disrupted in renal carcinoma protein 2 homolog	Dirc2	4303	sp|Q8BFQ6|DIRC2_MOUSE Solute carrier family 49 member 4 OS=Mus musculus OX=10090 GN=Slc49a4 PE=2 SV=1
125810	148980	207770	160370	152030	185700	162450	167320	202090	161360	163520	156070	188760	160540	179270	187640	191150	132900	-1	5	5	5	48.2	48.2	48.2	23.277	0	43.167	9	Q8BFQ8	Q8BFQ8	Parkinson disease 7 domain-containing protein 1	Pddc1	4304	sp|Q8BFQ8|GALD1_MOUSE Glutamine amidotransferase-like class 1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Gatd1 PE=1 SV=1
2131.89990234375	2614.39990234375	3620.69995117188	3562.5	3349.30004882813	3265.5	2939.30004882813	2187.10009765625	4426.2998046875	2890.5	3078.89990234375	3505	2567.19995117188	3394.30004882813	2855.10009765625	2577.5	2750.10009765625	1801.09997558594	-1	1	1	1	3	3	3	55.598	0.0093856	1.3423	1	Q8BFQ9	Q8BFQ9	Kelch-like protein 42	Klhl42	4305	sp|Q8BFQ9|KLH42_MOUSE Kelch-like protein 42 OS=Mus musculus OX=10090 GN=Klhl42 PE=2 SV=1
4453.2998046875	2494.80004882813	5402.2998046875	7584.7001953125	3204.89990234375	8654.599609375	4312.2998046875	4025.60009765625	14698	9512.400390625	2875.39990234375	3065.39990234375	5274.7998046875	2670.60009765625	11164	2721.19995117188	4552.89990234375	5112.5	-1	1	1	1	2.2	2.2	2.2	95.815	0.0067063	1.5303	1	Q8BFR2	Q8BFR2	Follistatin-related protein 5	Fstl5	4306	sp|Q8BFR2|FSTL5_MOUSE Follistatin-related protein 5 OS=Mus musculus OX=10090 GN=Fstl5 PE=2 SV=1
86619	108420	149900	117750	125300	147500	149870	133280	143330	120020	124490	128900	132100	139270	148060	128400	150680	111250	-1	4	4	4	7.7	7.7	7.7	61.174	0.00027956	3.4134	4	Q8BFR4	Q8BFR4	N-acetylglucosamine-6-sulfatase	Gns	4307	sp|Q8BFR4|GNS_MOUSE N-acetylglucosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Gns PE=1 SV=1
1342200	1700200	2253500	1857300	2075300	2380800	1817400	1847300	2234500	1766000	2055700	2132400	2163100	1924700	2197800	1428000	1552000	1556700	-1	28	28	28	68.1	68.1	68.1	49.508	0	258	99	Q8BFR5;Q8BFR5-2	Q8BFR5;Q8BFR5-2	Elongation factor Tu, mitochondrial	Tufm	4308	sp|Q8BFR5|EFTU_MOUSE Elongation factor Tu, mitochondrial OS=Mus musculus OX=10090 GN=Tufm PE=1 SV=1;sp|Q8BFR5-2|EFTU_MOUSE Isoform 2 of Elongation factor Tu, mitochondrial OS=Mus musculus OX=10090 GN=Tufm
14231	23455	25937	22297	21406	25267	25756	21831	25265	23918	21694	21711	25386	24769	25100	24809	29008	18186	-1	1	1	1	6.7	6.7	6.7	30.202	0.00027851	3.3423	1	Q8BFR6	Q8BFR6	AN1-type zinc finger protein 1	Zfand1	4309	sp|Q8BFR6|ZFAN1_MOUSE AN1-type zinc finger protein 1 OS=Mus musculus OX=10090 GN=Zfand1 PE=1 SV=1
48931	64360	79514	61309	69805	65255	59939	63602	90413	60986	69142	71684	69661	64008	77798	51073	53706	60450	-1	7	7	7	35.3	35.3	35.3	35.247	0	49.667	10	Q8BFS6;Q8BFS6-4;Q8BFS6-2;Q8BFS6-3;Q8BFS6-5	Q8BFS6;Q8BFS6-4;Q8BFS6-2;Q8BFS6-3	Serine/threonine-protein phosphatase CPPED1	Cpped1	4310	sp|Q8BFS6|CPPED_MOUSE Serine/threonine-protein phosphatase CPPED1 OS=Mus musculus OX=10090 GN=Cpped1 PE=1 SV=1;sp|Q8BFS6-4|CPPED_MOUSE Isoform 4 of Serine/threonine-protein phosphatase CPPED1 OS=Mus musculus OX=10090 GN=Cpped1;sp|Q8BFS6-2|CPPED_MOUSE Isofo
208140	304970	364780	303170	320320	373830	266600	310770	342560	323110	313690	321020	331500	328530	359110	315970	297900	238470	-1	8	8	8	14.8	14.8	14.8	60.768	0	323.31	8	Q8BFT9	Q8BFT9	Synaptic vesicle 2-related protein	Svop	4311	sp|Q8BFT9|SVOP_MOUSE Synaptic vesicle 2-related protein OS=Mus musculus OX=10090 GN=Svop PE=1 SV=1
284410	367080	509110	368300	378040	494540	357280	361950	458420	342740	418070	453630	445930	401710	441830	293300	365410	342200	-1	19	19	5	38.5	38.5	12	73.624	0	231.89	18	Q8BFU3;Q8BFU3-4;Q8BFU3-3	Q8BFU3;Q8BFU3-4;Q8BFU3-3	RING finger protein 214	Rnf214	4312	sp|Q8BFU3|RN214_MOUSE RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214 PE=1 SV=1;sp|Q8BFU3-4|RN214_MOUSE Isoform 4 of RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214;sp|Q8BFU3-3|RN214_MOUSE Isoform 3 of RING finger protein 214 OS=Mus m
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	15	1	1	36.5	1.9	1.9	57.517	0	15.852	0	Q8BFU3-5;Q8BFU3-2	Q8BFU3-5;Q8BFU3-2	RING finger protein 214	Rnf214	4313	sp|Q8BFU3-5|RN214_MOUSE Isoform 5 of RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214;sp|Q8BFU3-2|RN214_MOUSE Isoform 2 of RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214
10778	13028	20485	20329	19731	22837	10928	13083	17337	22965	15842	23777	14946	14761	19191	18603	28013	10305	-1	2	1	1	4.2	3	3	66.148	0.00041311	3.1451	1	Q8BFU8	Q8BFU8	Vesicular glutamate transporter 3	Slc17a8	4314	sp|Q8BFU8|VGLU3_MOUSE Vesicular glutamate transporter 3 OS=Mus musculus OX=10090 GN=Slc17a8 PE=2 SV=1
53455	75572	91282	78365	79632	85550	76085	73961	85190	80808	76749	70599	71068	78074	87571	77028	87133	57209	-1	6	6	6	21.3	21.3	21.3	46.132	0	18.767	6	Q8BFV2	Q8BFV2	PCI domain-containing protein 2	Pcid2	4315	sp|Q8BFV2|PCID2_MOUSE PCI domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pcid2 PE=1 SV=1
31182	43584	62371	47373	59667	70398	37050	43746	59516	44925	53114	55623	57464	40146	53599	24989	25876	44558	-1	6	6	6	13.4	13.4	13.4	65.89	0	29.606	7	Q8BFW7;Q8BFW7-5;Q8BFW7-4;Q8BFW7-3;Q8BFW7-2	Q8BFW7;Q8BFW7-5;Q8BFW7-4	Lipoma-preferred partner homolog	Lpp	4317	sp|Q8BFW7|LPP_MOUSE Lipoma-preferred partner homolog OS=Mus musculus OX=10090 GN=Lpp PE=1 SV=1;sp|Q8BFW7-5|LPP_MOUSE Isoform 5 of Lipoma-preferred partner homolog OS=Mus musculus OX=10090 GN=Lpp;sp|Q8BFW7-4|LPP_MOUSE Isoform 4 of Lipoma-preferred partner h
7074	10711	13356	10088	9787	12264	10662	12942	11484	9501.5	11541	10572	8861.7998046875	11282	10556	11009	12920	9017.2998046875	-1	6	6	6	9.3	9.3	9.3	88.861	0	28.366	4	Q8BFX3;Q8BFX3-2	Q8BFX3	BTB/POZ domain-containing protein KCTD3	Kctd3	4318	sp|Q8BFX3|KCTD3_MOUSE BTB/POZ domain-containing protein KCTD3 OS=Mus musculus OX=10090 GN=Kctd3 PE=1 SV=1
326170	385550	497530	447470	420160	489300	459320	386360	455730	426050	408750	425450	464680	468140	488910	501480	558370	352210	-1	5	5	5	17.8	17.8	17.8	29.227	0	17.077	7	Q8BFY6	Q8BFY6	Peflin	Pef1	4319	sp|Q8BFY6|PEF1_MOUSE Peflin OS=Mus musculus OX=10090 GN=Pef1 PE=1 SV=1
390110	521010	593030	524300	530690	588090	767870	536050	569660	543340	468820	543050	556550	609370	592120	551620	654950	444980	-1	12	8	8	15.5	11.1	11.1	101.31	0	32.167	11	Q8BFY9-2;Q8BFY9	Q8BFY9-2;Q8BFY9	Transportin-1	Tnpo1	4320	sp|Q8BFY9-2|TNPO1_MOUSE Isoform 2 of Transportin-1 OS=Mus musculus OX=10090 GN=Tnpo1;sp|Q8BFY9|TNPO1_MOUSE Transportin-1 OS=Mus musculus OX=10090 GN=Tnpo1 PE=1 SV=2
1700.09997558594	2168.69995117188	5723.7998046875	4670.89990234375	2540.10009765625	3939.30004882813	4672.10009765625	1616	3311.60009765625	3455.89990234375	3851.10009765625	3087.89990234375	3103.10009765625	2427	2768.89990234375	5073.5	4933.89990234375	2168.80004882813	-1	2	2	2	14.2	14.2	14.2	32.746	0	5.9276	1	Q8BFZ2-2;Q8BFZ2	Q8BFZ2-2;Q8BFZ2	Lipid phosphate phosphatase-related protein type 1	Lppr1	4321	sp|Q8BFZ2-2|PLPR1_MOUSE Isoform 2 of Phospholipid phosphatase-related protein type 1 OS=Mus musculus OX=10090 GN=Plppr1;sp|Q8BFZ2|PLPR1_MOUSE Phospholipid phosphatase-related protein type 1 OS=Mus musculus OX=10090 GN=Plppr1 PE=1 SV=1
3665.5	4783	74905	15092	7975.2998046875	47506	55708	8580.5	9788.900390625	2659.10009765625	17134	2605.80004882813	3265.5	4631.7998046875	6828.60009765625	6445	3517.69995117188	2319.80004882813	-1	9	2	2	27.1	7.7	7.7	42.004	0.0017264	2.3823	1	Q8BFZ3	Q8BFZ3	Beta-actin-like protein 2	Actbl2	4322	sp|Q8BFZ3|ACTBL_MOUSE Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1
833030	1088700	1364000	1112900	1172800	1463000	1299500	1154500	1283400	1247000	1068600	1161600	1268100	1251100	1273100	1181300	1096500	897510	-1	14	14	11	37.1	37.1	31.5	37.872	0	185.27	23	Q8BFZ9	Q8BFZ9	Erlin-2	Erlin2	4323	sp|Q8BFZ9|ERLN2_MOUSE Erlin-2 OS=Mus musculus OX=10090 GN=Erlin2 PE=1 SV=1
59692	78265	101320	85249	84602	90396	78740	77817	99748	81135	100760	84773	84670	91323	89400	86962	103070	67907	-1	6	4	3	16.1	11.6	8.9	51.461	0	44.648	4	Q8BG02	Q8BG02	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform	Ppp2r2c	4324	sp|Q8BG02|2ABG_MOUSE Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform OS=Mus musculus OX=10090 GN=Ppp2r2c PE=1 SV=1
2679100	3430400	4177400	3632700	4190400	3844500	3143400	3651800	4892800	3389400	3997100	3650700	4223400	4611500	4230500	3727200	4746600	3184200	-1	19	19	4	48.8	48.8	8.2	39.652	0	323.31	65	Q8BG05	Q8BG05	Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	4325	sp|Q8BG05|ROA3_MOUSE Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus OX=10090 GN=Hnrnpa3 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	17	2	2	47.1	3.9	3.9	37.086	0	3.9884	2	Q8BG05-2	Q8BG05-2	Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	4326	sp|Q8BG05-2|ROA3_MOUSE Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus OX=10090 GN=Hnrnpa3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	2.5	2.5	2.5	45.588	0	250.22	0	Q8BG09	Q8BG09	Transmembrane protein 184B	Tmem184b	4327	sp|Q8BG09|T184B_MOUSE Transmembrane protein 184B OS=Mus musculus OX=10090 GN=Tmem184b PE=2 SV=1
12850	14941	20237	18910	23291	21198	16752	13898	24261	17574	18234	19362	21863	19981	25741	16907	16638	15408	-1	2	2	2	6.3	6.3	6.3	45.381	0	6.6213	2	Q8BG15-6;Q8BG15-2;Q8BG15;Q8BG15-4;Q8BG15-3	Q8BG15-6;Q8BG15-2;Q8BG15;Q8BG15-4;Q8BG15-3	CTD small phosphatase-like protein 2	Ctdspl2	4328	sp|Q8BG15-6|CTSL2_MOUSE Isoform 6 of CTD small phosphatase-like protein 2 OS=Mus musculus OX=10090 GN=Ctdspl2;sp|Q8BG15-2|CTSL2_MOUSE Isoform 2 of CTD small phosphatase-like protein 2 OS=Mus musculus OX=10090 GN=Ctdspl2;sp|Q8BG15|CTSL2_MOUSE CTD small phos
375.410003662109	695.710021972656	1013.70001220703	1114	673.349975585938	1069.69995117188	591.5	892.429992675781	865.659973144531	864.440002441406	1014.40002441406	1007.70001220703	1192	1054.59997558594	602.150024414063	1314.69995117188	913.890014648438	752.640014648438	-1	7	6	6	9.3	8.4	8.4	81.792	0	139.57	1	Q8BG16	Q8BG16	Sodium-dependent neutral amino acid transporter B(0)AT2	Slc6a15	4329	sp|Q8BG16|S6A15_MOUSE Sodium-dependent neutral amino acid transporter B(0)AT2 OS=Mus musculus OX=10090 GN=Slc6a15 PE=1 SV=1
152970	190120	249400	197210	216400	295610	137660	194080	219050	220520	218340	240660	214810	216750	237350	246680	248870	174260	-1	9	9	9	34.1	34.1	34.1	40.933	0	253.2	8	Q8BG18	Q8BG18	N-terminal EF-hand calcium-binding protein 1	Necab1	4330	sp|Q8BG18|NECA1_MOUSE N-terminal EF-hand calcium-binding protein 1 OS=Mus musculus OX=10090 GN=Necab1 PE=1 SV=1
7497.7998046875	8848.2998046875	11223	9173.900390625	9412.5	10657	10302	9676.7998046875	10459	8823	10288	10297	9182.2998046875	8802.5	9380.2001953125	8266.099609375	11079	6180.5	-1	6	6	6	10.4	10.4	10.4	109.51	0	103.79	4	Q8BG26-3;Q8BG26;Q8BG26-2	Q8BG26-3;Q8BG26	RUN and SH3 domain-containing protein 1	Rusc1	4331	sp|Q8BG26-3|RUSC1_MOUSE Isoform 3 of RUN and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rusc1;sp|Q8BG26|RUSC1_MOUSE RUN and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rusc1 PE=1 SV=2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	4	4	4	57.584	0.0032392	1.9648	0	Q8BG30	Q8BG30	Negative elongation factor A	Nelfa	4332	sp|Q8BG30|NELFA_MOUSE Negative elongation factor A OS=Mus musculus OX=10090 GN=Nelfa PE=1 SV=1
1106100	1592800	1912000	1581000	1556800	1854400	1673400	1501400	1902300	1648900	1549100	1663700	1693100	1748100	1846300	1490300	1553100	1212900	-1	23	23	23	55	55	55	47.436	0	74.333	37	Q8BG32	Q8BG32	26S proteasome non-ATPase regulatory subunit 11	Psmd11	4333	sp|Q8BG32|PSD11_MOUSE 26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus OX=10090 GN=Psmd11 PE=1 SV=3
3719000	5485700	6559100	5422300	5051500	5917800	4152100	5193600	6411500	5421000	6088400	5244400	5726300	5819000	6247900	6047100	6399700	4385000	-1	15	15	14	19.5	19.5	19.5	77.456	0	147.22	49	Q8BG39	Q8BG39	Synaptic vesicle glycoprotein 2B	Sv2b	4334	sp|Q8BG39|SV2B_MOUSE Synaptic vesicle glycoprotein 2B OS=Mus musculus OX=10090 GN=Sv2b PE=1 SV=1
286050	387940	515250	455810	430140	472860	454430	399720	507860	374440	444580	435510	458670	499310	532300	424770	554780	326510	-1	16	16	16	33.1	33.1	33.1	72.638	0	57.48	23	Q8BG40	Q8BG40	Katanin p80 WD40 repeat-containing subunit B1	Katnb1	4335	sp|Q8BG40|KTNB1_MOUSE Katanin p80 WD40 repeat-containing subunit B1 OS=Mus musculus OX=10090 GN=Katnb1 PE=1 SV=1
